city,iteractions_count,clickout_sum,user_id_unique,session_id_unique,item_id_unique,step_median,item_per_session
"Gapyeong, South Korea",116,17.0,18,20,12,14.0,0.6
"Scottburgh, South Africa",109,17.0,15,15,10,9.0,0.6666666666666666
"Moers, Germany",123,17.0,15,15,10,24.0,0.6666666666666666
"Gadsden, USA",81,17.0,9,10,7,9.0,0.7
"Alta Gracia, Argentina",66,17.0,18,18,12,5.0,0.6666666666666666
"McHenry, USA",381,17.0,8,8,19,62.0,2.375
"Havant, United Kingdom",27,17.0,12,13,12,2.0,0.9230769230769231
"Del Rio, USA",28,17.0,6,6,9,4.5,1.5
"Lyubertsy, Russia",38,17.0,12,12,13,3.0,1.0833333333333333
"Stafford, USA",148,17.0,11,11,17,19.0,1.5454545454545454
"Kralendijk, BES Islands",708,17.0,14,15,23,211.5,1.5333333333333334
"Valenciennes, France",199,17.0,12,12,11,23.0,0.9166666666666666
"La Marsa, Tunisia",251,17.0,15,15,16,21.0,1.0666666666666667
"Hawi, USA",501,17.0,15,16,38,68.0,2.375
"Saint-Jean-de-Monts, France",117,17.0,19,19,13,6.0,0.6842105263157895
"Mers-les-Bains, France",31,17.0,9,9,13,10.0,1.4444444444444444
"Ross-on-Wye, United Kingdom",350,17.0,14,14,21,34.5,1.5
"Kastelruth, Italy",156,17.0,17,18,22,12.0,1.2222222222222223
"Woodland Hills, USA",101,17.0,13,17,18,8.0,1.0588235294117647
"Slănic, Romania",88,17.0,13,15,9,7.0,0.6
"Veľký Meder, Slovakia",48,17.0,10,10,11,5.5,1.1
"Saundersfoot, United Kingdom",69,17.0,16,17,12,6.0,0.7058823529411765
"Jarinu, Brazil",120,17.0,11,11,10,25.5,0.9090909090909091
"Tabor, Czech Republic",31,17.0,11,11,10,2.0,0.9090909090909091
"Lipetsk, Russia",89,17.0,13,13,14,8.0,1.0769230769230769
"Bad Tölz, Germany",36,17.0,17,17,10,2.0,0.5882352941176471
"Hahn, Germany",235,17.0,19,20,17,28.0,0.85
"Lake Worth, USA",366,17.0,19,20,25,59.5,1.25
"Les Saisies, France",40,17.0,11,11,15,3.5,1.3636363636363635
"Tifton, USA",87,17.0,13,16,11,5.0,0.6875
"Imst, Austria",155,17.0,9,11,18,36.0,1.6363636363636365
"João Monlevade, Brazil",34,17.0,10,11,4,3.0,0.36363636363636365
"St. Lawrence, Barbados",275,17.0,16,18,18,25.0,1.0
"Fujieda, Japan",42,17.0,11,11,8,3.0,0.7272727272727273
"Tiverton, United Kingdom",77,17.0,11,12,7,10.0,0.5833333333333334
"Mesão Frio, Portugal",323,17.0,14,15,17,36.0,1.1333333333333333
"Suzano, Brazil",117,17.0,20,20,14,19.0,0.7
"Vianden, Luxembourg",76,17.0,10,10,8,7.0,0.8
"Port St Johns, South Africa",75,17.0,8,9,5,13.0,0.5555555555555556
"Cudillero, Spain",80,17.0,11,12,16,6.0,1.3333333333333333
"Klink, Germany",108,17.0,13,13,8,12.5,0.6153846153846154
"Sarti, Greece",97,17.0,11,12,13,9.0,1.0833333333333333
"Lo de Marcos, Mexico",34,17.0,16,18,13,2.0,0.7222222222222222
"Linkou District, Taiwan",43,17.0,12,14,6,3.0,0.42857142857142855
"Solec-Zdrój, Poland",55,17.0,13,14,10,3.0,0.7142857142857143
"Cromwell, New Zealand",78,17.0,17,17,11,6.5,0.6470588235294118
"Jacareí, Brazil",74,17.0,12,13,7,8.5,0.5384615384615384
"Towson, USA",393,17.0,12,15,22,41.0,1.4666666666666666
"Karlskrona, Sweden",50,17.0,15,17,9,2.0,0.5294117647058824
"Førde, Norway",38,17.0,7,9,8,3.0,0.8888888888888888
"Gerringong, Australia",94,17.0,18,19,12,5.0,0.631578947368421
"Watsonville, USA",88,17.0,12,12,10,10.0,0.8333333333333334
"Kawaguchi, Japan",47,17.0,12,12,7,4.0,0.5833333333333334
"Nord Ari Atoll, Maldives",321,17.0,21,23,9,23.0,0.391304347826087
"Plymouth, USA",292,17.0,19,21,21,31.0,1.0
"Caerphilly, United Kingdom",82,17.0,8,8,8,11.0,1.0
"Amami, Japan",68,17.0,13,14,13,3.0,0.9285714285714286
"Wraza, Bulgaria",48,17.0,12,12,9,4.0,0.75
"Beechmont, Australia",45,17.0,14,17,3,3.0,0.17647058823529413
"Nordhausen, Germany",134,17.0,13,16,15,13.0,0.9375
"Torres del Paine, Chile",229,17.0,31,34,10,12.0,0.29411764705882354
"Sugar Mountain, USA",172,17.0,4,6,15,45.5,2.5
"Brandon, USA",74,17.0,14,14,7,4.0,0.5
"Sparta, Greece",196,17.0,16,19,12,15.0,0.631578947368421
"Neustadt, Germany",199,17.0,19,23,11,19.0,0.4782608695652174
"Dernau, Germany",159,17.0,9,9,17,54.0,1.8888888888888888
"Fermo, Italy",141,17.0,7,9,12,19.0,1.3333333333333333
"Felixstowe, United Kingdom",101,17.0,9,10,9,13.0,0.9
"Bad Wildbad, Germany",67,17.0,9,10,14,6.0,1.4
"Wells, USA",53,17.0,16,18,12,3.0,0.6666666666666666
"Éze, France",141,17.0,12,12,19,29.0,1.5833333333333333
"Bristol, USA",91,17.0,16,17,17,6.0,1.0
"Kirkenes, Norway",105,17.0,13,15,5,10.0,0.3333333333333333
"Poel, Germany",68,17.0,11,13,10,5.5,0.7692307692307693
"Rueil-Malmaison, France",99,17.0,13,16,12,12.0,0.75
"Bad Radkersburg, Austria",300,17.0,18,21,11,31.5,0.5238095238095238
"Älvsjö, Sweden",113,17.0,13,13,9,12.0,0.6923076923076923
"Hyannis, USA",112,17.0,13,13,13,7.5,1.0
"Burnham-on-Sea, United Kingdom",58,17.0,13,13,12,5.0,0.9230769230769231
"Nokia, Finland",58,17.0,14,15,5,7.0,0.3333333333333333
"Denham Springs, USA",360,17.0,8,8,17,90.5,2.125
"Yangpyeong, South Korea",34,17.0,9,10,12,3.0,1.2
"Bexhill-on-Sea, United Kingdom",123,17.0,12,12,12,13.0,1.0
"Monselice, Italy",21,17.0,4,4,15,6.0,3.75
"Waihi Beach, New Zealand",48,17.0,11,12,12,4.0,1.0
"Pontedera, Italy",84,17.0,7,9,9,13.0,1.0
"French Lick, USA",86,17.0,15,15,7,6.0,0.4666666666666667
"Sabiñanigo, Spain",91,17.0,13,15,13,7.0,0.8666666666666667
"Lednice, Czech Republic",49,17.0,12,12,12,3.0,1.0
"San Agustín del Guadalix, Spain",170,17.0,5,5,14,40.0,2.8
"Cheshunt, United Kingdom",67,17.0,7,8,7,11.0,0.875
"Eiheiji, Japan",61,17.0,16,17,13,7.0,0.7647058823529411
"Cernusco sul Naviglio, Italy",184,17.0,11,14,14,126.5,1.0
"Benalla, Australia",37,17.0,11,13,9,2.0,0.6923076923076923
"Dromana, Australia",52,17.0,15,18,12,3.0,0.6666666666666666
"Coomera, Australia",42,17.0,13,14,11,2.0,0.7857142857142857
"Tarlac City, Philippines",37,17.0,13,13,7,3.0,0.5384615384615384
"Ždiar, Slovakia",54,17.0,14,15,14,3.5,0.9333333333333333
"Formosa City, Argentina",75,17.0,15,17,9,5.0,0.5294117647058824
"Shifnal, United Kingdom",74,17.0,8,10,10,7.0,1.0
"Pfronten, Germany",136,17.0,13,13,17,20.0,1.3076923076923077
"Venus, Romania",67,17.0,14,14,15,5.0,1.0714285714285714
"Næstved, Denmark",28,17.0,10,10,7,2.5,0.7
"Envigado, Colombia",219,17.0,13,18,14,27.0,0.7777777777777778
"Osuna, Spain",99,17.0,11,11,13,13.0,1.1818181818181819
"Lindos, Greece",306,17.0,19,19,31,28.0,1.631578947368421
"Carpinteria, USA",47,17.0,11,11,10,6.0,0.9090909090909091
"Pinetop-Lakeside, USA",119,17.0,9,9,13,20.0,1.4444444444444444
"Sousa, Brazil",26,17.0,8,10,3,2.0,0.3
"Barry, United Kingdom",63,17.0,15,15,11,6.0,0.7333333333333333
"Yachats, USA",178,17.0,6,6,19,73.5,3.1666666666666665
"Colón, Panama",110,17.0,17,17,8,8.0,0.47058823529411764
"L'Isle-sur-la-Sorgue, France",189,17.0,12,14,13,16.0,0.9285714285714286
"Pisco, Peru",62,17.0,13,16,18,6.5,1.125
"Lefkas - Town, Greece",504,17.0,16,17,33,43.5,1.9411764705882353
"Marsala, Italy",136,17.0,14,16,18,12.5,1.125
"Lohberg, Germany",62,17.0,8,9,11,7.0,1.2222222222222223
"Asti, Italy",68,17.0,20,22,15,4.5,0.6818181818181818
"Barnet, United Kingdom",40,17.0,10,14,13,6.0,0.9285714285714286
"Catalão, Brazil",46,17.0,16,17,9,2.0,0.5294117647058824
"Cayucos, USA",211,17.0,12,16,10,44.0,0.625
"Donggang Township, Taiwan",48,17.0,16,17,12,3.0,0.7058823529411765
"San Vincenzo, Italy",54,17.0,11,11,9,6.5,0.8181818181818182
"Canavieiras, Brazil",366,17.0,26,29,10,18.0,0.3448275862068966
"Mumbles, United Kingdom",118,17.0,10,13,12,9.0,0.9230769230769231
"São Roque de Minas, Brazil",50,17.0,14,16,13,2.0,0.8125
"Stockton-on-Tees, United Kingdom",48,17.0,10,12,11,3.0,0.9166666666666666
"Grapevine, USA",217,17.0,22,24,16,26.0,0.6666666666666666
"Copacabana, Bolivia",128,17.0,16,16,19,32.5,1.1875
"Kundapur, India",42,17.0,13,14,11,3.0,0.7857142857142857
"Abashiri, Japan",51,17.0,21,23,7,2.0,0.30434782608695654
"Rimbach, Germany",54,17.0,18,18,3,3.0,0.16666666666666666
"Higashiosaka, Japan",48,17.0,14,20,5,2.0,0.25
"Malinska, Croatia",275,17.0,12,14,17,40.0,1.2142857142857142
"Uña, Spain",91,17.0,10,10,13,8.0,1.3
"Barreiras, Brazil",336,17.0,16,17,10,36.0,0.5882352941176471
"Boyds, USA",20,17.0,1,1,10,10.5,10.0
"Toms River, USA",313,17.0,11,11,23,110.0,2.090909090909091
"Honjo, Japan",43,17.0,11,11,11,5.0,1.0
"Georgetown, Guyana",70,17.0,9,11,11,8.0,1.0
"Ohakune, New Zealand",149,17.0,12,12,12,30.0,1.0
"Rhyl, United Kingdom",52,17.0,12,12,8,3.0,0.6666666666666666
"Pinole, USA",33,17.0,6,6,8,5.0,1.3333333333333333
"Mukdahan, Thailand",44,17.0,13,15,15,3.0,1.0
"Picton, Canada",395,17.0,10,10,23,83.0,2.3
"Milpitas, USA",160,17.0,9,13,11,62.5,0.8461538461538461
"Greystones, Ireland",109,17.0,8,9,8,12.0,0.8888888888888888
"Vittel, France",28,17.0,8,9,11,2.0,1.2222222222222223
"Yakima, USA",435,17.0,11,13,19,44.0,1.4615384615384615
"Cangas de Narcea, Spain",40,17.0,13,14,8,2.5,0.5714285714285714
"Belur, India",46,17.0,7,7,8,11.5,1.1428571428571428
"Itaipulândia, Brazil",148,17.0,17,19,3,12.0,0.15789473684210525
"Druskininkai, Lithuania",135,17.0,12,14,19,11.0,1.3571428571428572
"Isla Cristina, Spain",91,17.0,12,13,6,9.0,0.46153846153846156
"Santa Coloma de Gramanet, Spain",62,17.0,9,10,6,7.0,0.6
"Muri, Cook Islands",53,17.0,10,11,17,6.0,1.5454545454545454
"Glattbrugg, Switzerland",26,17.0,10,12,8,3.0,0.6666666666666666
"Grenaa, Denmark",112,17.0,11,11,5,12.5,0.45454545454545453
"Sulmona, Italy",306,17.0,11,14,11,40.0,0.7857142857142857
"Putten, Netherlands",147,17.0,19,19,9,23.0,0.47368421052631576
"Santa Cruz de Mompox, Colombia",408,17.0,15,17,12,84.5,0.7058823529411765
"Serik, Turkey",455,17.0,22,22,28,232.0,1.2727272727272727
"Waldkirchen, Germany",97,17.0,13,13,5,11.0,0.38461538461538464
"Asenovgrad, Bulgaria",59,17.0,12,12,13,4.0,1.0833333333333333
"Waldeck, Germany",187,17.0,13,15,18,20.0,1.2
"Cap Malheureux, Mauritius",88,17.0,10,10,12,9.0,1.2
"Le Mesnil Amelot, France",34,17.0,9,11,9,2.5,0.8181818181818182
"Marshall, USA",216,17.0,10,11,14,26.5,1.2727272727272727
"Xel-Ha, Mexico",266,17.0,18,20,14,23.0,0.7
"Phimai, Thailand",25,17.0,11,11,6,2.0,0.5454545454545454
"Bowen, Australia",177,17.0,14,15,15,17.0,1.0
"San Juan de Aznalfarache, Spain",27,17.0,10,11,7,2.0,0.6363636363636364
"La Petite Pierre, France",41,17.0,12,13,9,2.0,0.6923076923076923
"Cavalese, Italy",252,17.0,17,18,22,62.5,1.2222222222222223
"Martha's Vineyard, USA",145,17.0,10,11,20,21.0,1.8181818181818181
"Angoulême, France",77,17.0,12,12,13,5.0,1.0833333333333333
"San Jerónimo, Peru",109,17.0,16,17,10,7.0,0.5882352941176471
"Gaspra, Crimea",153,17.0,13,13,18,40.0,1.3846153846153846
"Bridgend , United Kingdom",67,16.0,15,16,10,5.0,0.625
"Edmundston, Canada",223,16.0,13,17,8,22.0,0.47058823529411764
"Hirschegg, Austria",191,16.0,10,10,11,33.0,1.1
"Bad Säckingen, Germany",180,16.0,10,11,16,15.0,1.4545454545454546
"Atizapán de Zaragoza, Mexico",71,16.0,9,13,12,7.0,0.9230769230769231
"Chau Doc, Vietnam",108,16.0,13,13,14,6.5,1.0769230769230769
"Saint-Aignan, France",31,16.0,14,16,14,2.0,0.875
"Botley, United Kingdom",73,16.0,6,7,9,10.0,1.2857142857142858
"Ageo, Japan",47,16.0,10,10,12,6.0,1.2
"Brandenburg an der Havel, Germany",169,16.0,16,18,12,14.0,0.6666666666666666
"Sweimeh, Jordan",90,16.0,19,19,9,8.0,0.47368421052631576
"Punta Maroma, Mexico",245,16.0,21,23,14,378.0,0.6086956521739131
"Zierikzee, Netherlands",65,16.0,10,10,14,12.0,1.4
"Karambunai, Malaysia",143,16.0,14,15,10,12.0,0.6666666666666666
"Xonrupt-Longemer, France",45,16.0,10,10,10,8.0,1.0
"Oberursel, Germany",44,16.0,4,7,11,5.5,1.5714285714285714
"Manzhou Township, Taiwan",38,16.0,11,14,5,2.0,0.35714285714285715
"Agen, France",59,16.0,11,11,10,5.0,0.9090909090909091
"Wals-Siezenheim, Austria",70,16.0,10,10,10,7.0,1.0
"Landau, Germany",97,16.0,11,11,21,7.0,1.9090909090909092
"Swanley, United Kingdom",206,16.0,7,14,14,25.5,1.0
"Lipno nad Vltavou, Czech Republic",51,16.0,16,16,13,3.0,0.8125
"Montana, Bulgaria",28,16.0,9,9,6,3.0,0.6666666666666666
"Hinton, Canada",65,16.0,9,10,9,13.0,0.9
"Pont-l'Évêque, France",51,16.0,10,11,13,4.0,1.1818181818181819
"Farmers Branch, USA",118,16.0,6,6,12,18.5,2.0
"Hawera, New Zealand",128,16.0,9,10,10,17.0,1.0
"Praia da Luz, Portugal",79,16.0,13,13,16,18.0,1.2307692307692308
"Galaxidi, Greece",351,16.0,15,16,22,41.0,1.375
"Cala Galdana, Spain",315,16.0,9,11,19,50.0,1.7272727272727273
"Ribarica, Bulgaria",194,16.0,17,18,14,14.0,0.7777777777777778
"Puerto Maldonado, Peru",109,16.0,11,12,17,20.0,1.4166666666666667
"Zante-Town, Greece",301,16.0,17,17,20,27.0,1.1764705882352942
"Vals, Switzerland",85,16.0,15,16,10,12.0,0.625
"Teteven, Bulgaria",32,16.0,11,13,8,2.0,0.6153846153846154
"Tsaghkadzor, Armenia",50,16.0,8,8,11,5.5,1.375
"Witten, Germany",62,16.0,8,9,17,6.5,1.8888888888888888
"Olón, Ecuador",72,16.0,13,14,14,5.0,1.0
"Milton, Canada",64,16.0,10,12,10,5.5,0.8333333333333334
"Nobeoka, Japan",43,16.0,13,14,7,2.0,0.5
"Long Branch, USA",224,16.0,16,17,12,29.5,0.7058823529411765
"Essel, Germany",97,16.0,10,10,2,18.0,0.2
"Waynesville, USA",97,16.0,15,15,19,9.0,1.2666666666666666
"Banning, USA",72,16.0,7,8,9,19.5,1.125
"Pemuteran, Indonesia",185,16.0,10,11,20,29.0,1.8181818181818181
"Haus im Ennstal, Austria",95,16.0,16,16,12,10.0,0.75
"Pollensa, Spain",101,16.0,11,12,12,14.0,1.0
"Álamos, Mexico",37,16.0,10,11,4,2.0,0.36363636363636365
"Jackpot, USA",32,16.0,11,12,3,2.0,0.25
"Solares, Spain",234,16.0,9,10,15,61.5,1.5
"Düren, Germany",63,16.0,11,15,8,5.0,0.5333333333333333
"Bagac, Philippines",62,16.0,13,14,6,4.0,0.42857142857142855
"Altınoluk, Turkey",77,16.0,9,10,11,14.0,1.1
"Ojai, USA",160,16.0,19,20,9,29.5,0.45
"Crown Point, Trinidad and Tobago",198,16.0,10,11,9,31.0,0.8181818181818182
"Twin Falls, USA",42,16.0,13,13,8,2.5,0.6153846153846154
"Passos, Brazil",177,16.0,28,28,14,12.0,0.5
"El Médano, Spain",43,16.0,13,13,10,3.0,0.7692307692307693
"Miami Springs, USA",174,16.0,23,25,18,15.5,0.72
"Geldrop-Mierlo, Netherlands",90,16.0,13,14,6,9.5,0.42857142857142855
"Cuauhtemoc, Mexico",315,16.0,14,14,11,38.0,0.7857142857142857
"Saint-Herblain, France",40,16.0,8,8,8,5.0,1.0
"La Foux-d´Allos, France",79,16.0,10,11,10,7.0,0.9090909090909091
"Cariacica, Brazil",178,16.0,15,16,15,16.5,0.9375
"Kleve, Germany",43,16.0,11,14,8,5.0,0.5714285714285714
"Burhaniye, Turkey",75,16.0,19,20,13,5.0,0.65
"Claremorris, Ireland",24,16.0,10,12,5,2.0,0.4166666666666667
"Janów Podlaski, Poland",108,16.0,14,15,5,10.0,0.3333333333333333
"Trosa, Sweden",25,16.0,13,13,4,1.0,0.3076923076923077
"Budoni, Italy",87,16.0,13,13,16,50.0,1.2307692307692308
"Cavallino-Treporti, Italy",181,16.0,12,13,17,18.0,1.3076923076923077
"Pila , Poland",30,16.0,15,15,9,2.0,0.6
"Los Alcazares, Spain",50,16.0,14,19,8,3.0,0.42105263157894735
"Caramoan, Philippines",57,16.0,8,10,6,11.0,0.6
"Kirchham, Germany",51,16.0,12,13,11,3.0,0.8461538461538461
"Akrotiri, Greece",263,16.0,11,11,20,32.0,1.8181818181818181
"Remscheid, Germany",166,16.0,9,9,11,41.0,1.2222222222222223
"Uckfield, United Kingdom",47,16.0,8,10,6,4.0,0.6
"Puyehue, Chile",90,16.0,20,21,9,9.0,0.42857142857142855
"Tizimin, Mexico",36,16.0,11,11,5,3.0,0.45454545454545453
"Lobos, Argentina",46,16.0,17,18,9,3.0,0.5
"Sunne, Sweden",24,16.0,13,13,7,2.0,0.5384615384615384
"Pawleys Island, USA",74,16.0,14,14,5,8.0,0.35714285714285715
"Ithaca, USA",45,16.0,12,15,10,3.0,0.6666666666666666
"Apulo, Colombia",75,16.0,13,13,8,9.0,0.6153846153846154
"Ahrenshoop, Germany",85,16.0,15,16,15,7.0,0.9375
"Sonora, USA",98,16.0,6,6,12,23.5,2.0
"Saïdia, Morocco",54,16.0,9,9,5,9.5,0.5555555555555556
"Paka, Malaysia",164,16.0,11,14,10,21.0,0.7142857142857143
"Wellesbourne, United Kingdom",37,16.0,10,11,5,3.0,0.45454545454545453
"Monchique, Portugal",94,16.0,14,15,7,10.5,0.4666666666666667
"Colonia de Sant Jordi, Spain",239,16.0,17,18,12,23.0,0.6666666666666666
"St. Gallenkirch - Gortipohl, Austria",102,16.0,9,9,17,14.5,1.8888888888888888
"Benešov, Czech Republic",78,16.0,8,8,14,14.5,1.75
"Râmnicu Vâlcea, Romania",89,16.0,14,16,14,9.0,0.875
"Tagum, Philippines",75,16.0,13,15,12,13.0,0.8
"Murten, Switzerland",24,16.0,7,7,14,3.5,2.0
"Hamilton, Australia",245,16.0,11,13,10,25.0,0.7692307692307693
"Ilha Solteira, Brazil",59,16.0,15,17,3,4.0,0.17647058823529413
"Chester-le-Street, United Kingdom",55,16.0,16,17,7,3.0,0.4117647058823529
"Palmeiras, Brazil",224,16.0,17,21,24,19.0,1.1428571428571428
"Damascus, Syria",133,16.0,19,19,3,7.0,0.15789473684210525
"St Pölten, Austria",143,16.0,14,14,11,8.0,0.7857142857142857
"El Valle, Panama",134,16.0,15,16,19,10.5,1.1875
"Bad Bergzabern, Germany",96,16.0,12,13,15,7.0,1.1538461538461537
"Palmitos, Brazil",42,16.0,12,12,2,6.5,0.16666666666666666
"Grenville-sur-la Rouge, Canada",137,16.0,15,15,4,17.0,0.26666666666666666
"Akua Yala, Panama",78,16.0,12,12,7,11.5,0.5833333333333334
"Tatvan, Turkey",106,16.0,7,8,8,13.0,1.0
"Scheidegg, Germany",334,16.0,7,10,23,71.5,2.3
"Uden, Netherlands",249,16.0,15,16,15,25.0,0.9375
"Sugar Land, USA",158,16.0,12,13,24,10.5,1.8461538461538463
"Villejuif, France",80,16.0,11,11,13,11.0,1.1818181818181819
"Chertsey, United Kingdom",133,16.0,9,12,16,11.0,1.3333333333333333
"Swift Current, Canada",35,16.0,9,12,9,2.0,0.75
"Stroudsburg, USA",167,16.0,15,17,15,36.0,0.8823529411764706
"Laamu Atoll, Maldives",96,16.0,14,14,5,8.5,0.35714285714285715
"Jaguarão, Brazil",55,16.0,16,17,6,4.0,0.35294117647058826
"Giarre, Italy",61,16.0,7,7,16,169.0,2.2857142857142856
"Palamòs, Spain",114,16.0,11,12,10,13.5,0.8333333333333334
"Holland, USA",96,16.0,21,21,11,6.0,0.5238095238095238
"Cannock, United Kingdom",51,16.0,8,8,15,6.0,1.875
"Mazagón, Spain",159,16.0,14,14,10,18.0,0.7142857142857143
"Zonguldak, Turkey",143,16.0,17,17,8,18.0,0.47058823529411764
"Harrisonburg, USA",312,16.0,21,26,19,17.0,0.7307692307692307
"Kista, Sweden",64,16.0,9,9,13,7.0,1.4444444444444444
"Jämsä, Finland",74,16.0,11,11,9,6.0,0.8181818181818182
"Calafell, Spain",85,16.0,8,11,11,13.0,1.0
"Chilpancingo, Mexico",70,16.0,10,10,3,7.0,0.3
"Camamu, Brazil",327,16.0,14,15,22,40.0,1.4666666666666666
"San Luis la Herradura, El Salvador",188,16.0,19,21,10,19.0,0.47619047619047616
"Nirasaki, Japan",69,16.0,10,11,12,7.0,1.0909090909090908
"Rozzano, Italy",110,16.0,9,9,13,10.5,1.4444444444444444
"Ashbourne, United Kingdom",102,16.0,11,11,11,11.0,1.0
"Pedasí, Panama",223,16.0,12,13,15,54.0,1.1538461538461537
"Falmouth, USA",60,16.0,14,14,10,5.0,0.7142857142857143
"Wokingham, United Kingdom",288,16.0,11,11,19,39.5,1.7272727272727273
"Chaumont, France",35,16.0,10,11,7,3.0,0.6363636363636364
"Karasu, Turkey",142,16.0,12,12,4,15.0,0.3333333333333333
"Neuville-Bosc, France",146,16.0,10,10,3,17.0,0.3
"Ponte de Sor, Portugal",107,16.0,13,13,6,13.0,0.46153846153846156
"Schruns, Austria",193,16.0,14,15,23,19.0,1.5333333333333334
"Fécamp, France",46,16.0,13,15,10,2.5,0.6666666666666666
"Revere, USA",65,16.0,9,10,6,9.0,0.6
"Sidney, Canada",168,16.0,13,13,9,21.0,0.6923076923076923
"Sitiawan, Malaysia",62,16.0,12,13,12,5.0,0.9230769230769231
"Câmpulung Moldovenesc, Romania",66,16.0,14,15,18,7.5,1.2
"Monroeville, USA",101,16.0,8,10,12,19.0,1.2
"Schoppernau, Austria",312,16.0,9,9,17,50.0,1.8888888888888888
"Sabae, Japan",39,16.0,11,11,10,4.0,0.9090909090909091
"Prestwick, United Kingdom",59,16.0,8,9,11,6.0,1.2222222222222223
"Briançon, France",243,16.0,14,14,11,33.0,0.7857142857142857
"Aquitania, Colombia",41,16.0,12,14,8,3.0,0.5714285714285714
"Yasothon, Thailand",26,16.0,9,9,5,2.0,0.5555555555555556
"Villeneuve-d'Ascq, France",89,16.0,14,14,9,11.0,0.6428571428571429
"Schouwen-Duiveland, Netherlands",161,16.0,16,16,8,16.0,0.5
"Woodbridge, United Kingdom",57,16.0,12,13,10,5.0,0.7692307692307693
"Leesburg, USA",163,16.0,13,13,17,15.0,1.3076923076923077
"Chigasaki, Japan",45,16.0,15,16,5,3.0,0.3125
"Ramallah, Palestinian Territories",55,16.0,8,8,12,6.0,1.5
"Pontefract, United Kingdom",82,16.0,10,10,6,9.5,0.6
"Wells-next-the-Sea, United Kingdom",58,16.0,12,13,9,5.0,0.6923076923076923
"Shediac, Canada",89,16.0,5,5,11,24.0,2.2
"Koreiz, Crimea",49,16.0,7,7,17,11.0,2.4285714285714284
"Gotse Delchev, Bulgaria",40,16.0,14,15,11,3.0,0.7333333333333333
"Schwetzingen, Germany",31,16.0,9,10,9,2.0,0.9
"Montemorelos, Mexico",44,16.0,6,8,4,4.0,0.5
"Manresa, Spain",84,16.0,13,16,12,11.5,0.75
"Guamka, Russia",37,16.0,14,15,8,2.0,0.5333333333333333
"Shiraz , Iran",98,16.0,9,10,10,10.5,1.0
"Warwick, USA",97,16.0,11,12,12,12.0,1.0
"Carnoustie, United Kingdom",73,16.0,13,13,4,6.0,0.3076923076923077
"Livingstone, Zambia",66,16.0,15,16,15,4.5,0.9375
"Balloch, United Kingdom",193,16.0,15,16,18,34.0,1.125
"Playa de Esquinzo, Spain",60,16.0,13,16,15,3.5,0.9375
"Shirako, Japan",52,16.0,11,11,11,5.0,1.0
"El Cajon, USA",139,16.0,10,12,15,20.0,1.25
"Belluno, Italy",45,16.0,11,11,11,6.0,1.0
"Higashimatsuyama, Japan",59,16.0,6,6,8,11.0,1.3333333333333333
"Zhubei City, Taiwan",201,16.0,15,16,13,29.0,0.8125
"Minehead, United Kingdom",60,16.0,14,16,8,3.5,0.5
"Szentendre, Hungary",307,16.0,16,18,22,47.0,1.2222222222222223
"Tamasopo, Mexico",36,16.0,18,19,6,2.0,0.3157894736842105
"Jeseník, Czech Republic",59,16.0,14,15,8,9.0,0.5333333333333333
"Sertãozinho, Brazil",52,16.0,14,15,10,9.5,0.6666666666666666
"Yoshino, Japan",66,16.0,13,13,14,7.0,1.0769230769230769
"Mafikeng, South Africa",87,16.0,10,12,8,10.0,0.6666666666666666
"Challans, France",101,16.0,5,7,8,16.0,1.1428571428571428
"Kefar Tavor, Israel",23,16.0,9,10,3,2.0,0.3
"Humahuaca, Argentina",74,16.0,13,14,11,7.0,0.7857142857142857
"Radenci, Slovenia",76,16.0,11,11,8,9.5,0.7272727272727273
"Wimborne Minster, United Kingdom",34,16.0,8,9,7,2.5,0.7777777777777778
"Duiven, Netherlands",193,16.0,9,12,13,20.0,1.0833333333333333
"Cacoal, Brazil",177,16.0,16,16,6,18.0,0.375
"Pacasmayo, Peru",75,16.0,11,11,9,7.0,0.8181818181818182
"Château-Thierry, France",40,16.0,9,9,8,5.5,0.8888888888888888
"Hungerford, United Kingdom",63,16.0,5,7,15,11.0,2.142857142857143
"Bogense, Denmark",211,16.0,9,9,13,32.0,1.4444444444444444
"Pabianice, Poland",98,16.0,16,16,5,14.5,0.3125
"Central City, USA",118,16.0,10,11,10,40.5,0.9090909090909091
"Santiago del Teide, Spain",65,16.0,6,6,17,13.0,2.8333333333333335
"Latur, India",23,16.0,9,10,8,2.0,0.8
"Minden, Germany",57,16.0,14,14,13,4.0,0.9285714285714286
"Vienne, France",165,16.0,17,17,16,232.0,0.9411764705882353
"Campi Bisenzio, Italy",176,16.0,12,13,11,20.5,0.8461538461538461
"Cachoeira, Brazil",88,16.0,15,15,10,22.5,0.6666666666666666
"Wangerland, Germany",132,16.0,12,13,25,14.0,1.9230769230769231
"Dessau-Roßlau, Germany",26,16.0,13,14,6,2.0,0.42857142857142855
"Ano Chora Nafpaktias, Greece",63,16.0,12,12,6,19.0,0.5
"Brăila, Romania",19,16.0,13,13,5,1.0,0.38461538461538464
"El Campello, Spain",84,16.0,15,15,9,5.5,0.6
"Detmold, Germany",90,16.0,12,12,13,9.0,1.0833333333333333
"Tres Cantos, Spain",41,16.0,8,9,8,4.0,0.8888888888888888
"Barrow-in-Furness, United Kingdom",39,16.0,9,11,12,3.0,1.0909090909090908
